age,balance,day,duration,campaign,pdays,previous
59,2343,5,1042,1,-1,0
56,45,5,1467,1,-1,0
41,1270,5,1389,1,-1,0
55,2476,5,579,1,-1,0
54,184,5,673,2,-1,0
42,0,5,562,2,-1,0
56,830,6,1201,1,-1,0
60,545,6,1030,1,-1,0
37,1,6,608,1,-1,0
28,5090,6,1297,3,-1,0
38,100,7,786,1,-1,0
30,309,7,1574,2,-1,0
29,199,7,1689,4,-1,0
46,460,7,1102,2,-1,0
31,703,8,943,2,-1,0
35,3837,8,1084,1,-1,0
32,611,8,541,3,-1,0
49,-8,8,1119,1,-1,0
41,55,8,1120,2,-1,0
49,168,8,513,1,-1,0
28,785,8,442,2,-1,0
43,2067,8,756,1,-1,0
43,388,8,2087,2,-1,0
43,-192,8,1120,2,-1,0
37,381,8,985,2,-1,0
35,40,9,617,4,-1,0
31,22,9,483,3,-1,0
43,3,9,929,3,-1,0
31,307,9,538,1,-1,0
28,759,9,710,1,-1,0
32,-1,9,653,1,-1,0
60,65,9,1028,2,-1,0
26,82,9,654,1,-1,0
40,10,9,1692,2,-1,0
33,390,9,665,2,-1,0
32,311,12,757,2,-1,0
35,414,13,504,4,-1,0
33,5,13,1346,1,-1,0
38,119,13,568,4,-1,0
23,4,13,395,2,-1,0
60,1262,13,1015,1,-1,0
48,1949,13,683,2,-1,0
45,-395,13,470,1,-1,0
36,1165,13,1001,4,-1,0
52,2240,13,845,1,-1,0
35,300,13,945,2,-1,0
43,3285,13,1721,2,-1,0
52,3923,14,942,3,-1,0
53,1443,14,476,1,-1,0
48,24,14,832,1,-1,0
41,1618,14,1553,1,-1,0
39,517,14,1328,1,-1,0
59,1521,14,1125,2,-1,0
41,2823,14,858,1,-1,0
48,1405,14,629,2,-1,0
40,1535,14,704,1,-1,0
48,1596,14,760,1,-1,0
60,1542,14,930,1,-1,0
40,3652,14,1028,2,-1,0
57,-1,14,850,2,-1,0
51,7180,14,927,1,-1,0
41,5291,14,1423,3,-1,0
41,1384,15,1162,4,-1,0
52,-191,15,755,1,-1,0
59,320,15,695,1,-1,0
44,146,15,483,1,-1,0
49,341,15,520,2,-1,0
40,-9,15,920,2,-1,0
41,-306,15,500,1,-1,0
44,4580,15,911,2,-1,0
60,313,15,920,2,-1,0
29,10576,15,1224,2,-1,0
41,-233,15,1156,2,-1,0
41,2453,15,1052,1,-1,0
42,1364,15,1867,6,-1,0
36,281,16,515,1,-1,0
39,94,16,813,1,-1,0
31,144,16,676,1,-1,0
26,246,16,1143,3,-1,0
31,92,16,688,1,-1,0
29,163,16,803,1,-1,0
37,49,16,619,2,-1,0
33,-416,16,767,2,-1,0
24,409,16,912,1,-1,0
50,363,16,1340,1,-1,0
27,3706,16,897,1,-1,0
54,4393,16,1297,3,-1,0
30,863,16,1193,5,-1,0
34,695,16,1064,4,-1,0
37,792,16,1187,4,-1,0
41,1020,19,882,1,-1,0
47,863,19,943,2,-1,0
31,97,19,607,1,-1,0
31,754,19,1022,4,-1,0
43,1040,19,552,3,-1,0
37,122,19,1622,2,-1,0
30,880,19,967,6,-1,0
41,501,19,579,5,-1,0
36,4438,20,446,1,-1,0
35,0,20,1205,1,-1,0
29,271,20,1882,2,-1,0
35,102,20,1334,1,-1,0
31,2,20,182,2,-1,0
35,4170,20,1777,1,-1,0
34,85,20,1182,4,-1,0
31,431,20,1045,1,-1,0
44,982,20,650,3,-1,0
36,408,20,1063,2,-1,0
35,4822,20,843,2,-1,0
41,1250,20,1392,2,-1,0
31,216,21,565,1,-1,0
34,1207,21,905,1,-1,0
32,791,21,783,2,-1,0
36,849,21,958,2,-1,0
30,239,21,412,1,-1,0
37,1211,21,795,1,-1,0
36,599,21,649,2,-1,0
31,825,21,506,2,-1,0
27,2183,21,857,1,-1,0
34,4499,21,1681,1,-1,0
30,1289,21,1697,2,-1,0
32,4665,21,860,2,-1,0
37,3326,21,799,1,-1,0
32,783,21,923,3,-1,0
33,0,21,521,3,-1,0
